Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
265,Armel Bella Kotchap,de GER,DF,Hellas Verona,it Serie A,23,2001,19,14,1347,15.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
266,Raoul Bellanova,it ITA,MF,Atalanta,it Serie A,25,2000,24,15,1377,15.3,0,1,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches
267,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,eng Premier League,27,1998,26,15,1248,13.9,1,1,2,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,Matches
268,Héctor Bellerín,es ESP,DF,Real Betis,es La Liga,30,1995,27,20,1822,20.2,2,3,5,2,0,0,2,0,0.10,0.15,0.25,0.10,0.25,Matches
269,Jobe Bellingham,eng ENG,MF,Dortmund,de Bundesliga,19,2005,32,20,1786,19.8,0,1,1,0,0,0,2,1,0.00,0.05,0.05,0.00,0.05,Matches
270,Jude Bellingham,eng ENG,MF,Real Madrid,es La Liga,22,2003,28,22,1916,21.3,6,4,10,6,0,0,3,0,0.28,0.19,0.47,0.28,0.47,Matches
271,Jeanuël Belocian,fr FRA,DF,Wolfsburg,de Bundesliga,20,2005,14,14,1254,13.9,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches
272,Jeanuël Belocian,fr FRA,DF,Leverkusen,de Bundesliga,20,2005,8,3,292,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
273,Andrea Belotti,it ITA,FW,Cagliari,it Serie A,31,1993,8,3,221,2.5,2,0,2,1,1,1,0,0,0.81,0.00,0.81,0.41,0.41,Matches
274,Fran Beltrán,es ESP,MF,Girona,es La Liga,26,1999,17,11,1012,11.2,1,0,1,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches
275,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,26,1999,10,7,528,5.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
276,Lucas Beltrán,ar ARG,FW,Valencia,es La Liga,24,2001,27,16,1365,15.2,1,2,3,1,0,0,1,0,0.07,0.13,0.20,0.07,0.20,Matches
277,Eliesse Ben Seghir,ma MAR,MF,Leverkusen,de Bundesliga,20,2005,10,2,252,2.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
278,Eliesse Ben Seghir,ma MAR,MF,Monaco,fr Ligue 1,20,2005,2,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
279,Carlos Benavídez,uy URU,DF,Alavés,es La Liga,27,1998,13,3,324,3.6,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
280,Adrian Benedyczak,pl POL,FW,Parma,it Serie A,24,2000,14,5,490,5.4,1,1,2,0,1,1,1,0,0.18,0.18,0.37,0.00,0.18,Matches
281,Yassine Benhattab,fr FRA,"MF,FW",Nantes,fr Ligue 1,22,2002,10,5,477,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
282,Walter Benítez,ar ARG,GK,Crystal Palace,eng Premier League,32,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
283,Iker Benito,es ESP,MF,Osasuna,es La Liga,22,2002,6,1,159,1.8,1,0,1,1,0,0,1,0,0.57,0.00,0.57,0.57,0.57,Matches
284,Mohamed Benoit Dao,fr FRA,FW,Paris FC,fr Ligue 1,18,2007,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
285,Ramy Bensebaini,dz ALG,DF,Dortmund,de Bundesliga,30,1995,21,15,1530,17.0,5,2,7,3,2,2,6,0,0.29,0.12,0.41,0.18,0.29,Matches
286,Nabil Bentaleb,dz ALG,MF,Lille,fr Ligue 1,30,1994,26,13,1287,14.3,2,2,4,1,1,1,3,0,0.14,0.14,0.28,0.07,0.21,Matches
287,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,28,1997,26,23,1883,20.9,1,1,2,1,0,0,7,0,0.05,0.05,0.10,0.05,0.10,Matches
288,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,32,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
289,Lucas Beraldo,br BRA,"DF,MF",PSG,fr Ligue 1,21,2003,20,18,1567,17.4,2,1,3,2,0,0,2,0,0.11,0.06,0.17,0.11,0.17,Matches
290,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,30,1994,26,24,1958,21.8,8,4,12,6,2,3,2,1,0.37,0.18,0.55,0.28,0.46,Matches
291,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,35,1990,32,31,2705,30.1,0,6,6,0,0,0,5,0,0.00,0.20,0.20,0.00,0.20,Matches
292,Álex Berenguer,es ESP,MF,Athletic Club,es La Liga,30,1995,31,25,2154,23.9,2,3,5,2,0,0,4,0,0.08,0.13,0.21,0.08,0.21,Matches
293,Sander Berge,no NOR,MF,Fulham,eng Premier League,27,1998,35,34,2905,32.3,0,1,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,Matches
294,Lucas Bergström,fi FIN,GK,Mallorca,es La Liga,22,2002,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
295,Lucas Bergvall,se SWE,MF,Tottenham,eng Premier League,19,2006,23,11,965,10.7,1,3,4,1,0,0,2,0,0.09,0.28,0.37,0.09,0.37,Matches
296,Medon Berisha,al ALB,MF,Lecce,it Serie A,21,2003,13,12,871,9.7,2,3,5,2,0,0,0,0,0.21,0.31,0.52,0.21,0.52,Matches
297,Anthony Bermont,fr FRA,FW,Lens,fr Ligue 1,20,2005,10,0,104,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
298,Adrian Bernabe,es ESP,MF,Parma,it Serie A,24,2001,32,31,2470,27.4,3,1,4,3,0,0,0,0,0.11,0.04,0.15,0.11,0.15,Matches
299,Marc Bernal,es ESP,MF,Barcelona,es La Liga,18,2007,22,9,790,8.8,2,1,3,2,0,0,4,0,0.23,0.11,0.34,0.23,0.34,Matches
300,Gabin Bernardeau,fr FRA,MF,Nice,fr Ligue 1,19,2006,4,1,95,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
301,Federico Bernardeschi,it ITA,"MF,FW",Bologna,it Serie A,31,1994,29,12,1217,13.5,4,2,6,3,1,1,3,0,0.30,0.15,0.44,0.22,0.37,Matches
302,Bernardo,br BRA,DF,Hoffenheim,de Bundesliga,30,1995,29,26,2312,25.7,0,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,Matches
303,Lorenzo Bernasconi,it ITA,MF,Atalanta,it Serie A,21,2003,23,17,1572,17.5,0,3,3,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,Matches
304,Antoine Bernede,fr FRA,MF,Hellas Verona,it Serie A,26,1999,32,29,2301,25.6,1,2,3,1,0,0,2,0,0.04,0.08,0.12,0.04,0.12,Matches
305,Nicolò Bertola,it ITA,"DF,MF",Udinese,it Serie A,22,2003,28,18,1763,19.6,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches
306,Jan-Niklas Beste,de GER,MF,Freiburg,de Bundesliga,26,1999,28,20,1704,18.9,2,2,4,2,0,0,5,0,0.11,0.11,0.21,0.11,0.21,Matches
307,Beto,gw GNB,FW,Everton,eng Premier League,27,1998,37,17,1568,17.4,9,1,10,9,0,0,3,0,0.52,0.06,0.57,0.52,0.57,Matches
308,Brando Bettazzi,it ITA,MF,Pisa,it Serie A,17,2007,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
309,Sam Beukema,nl NED,DF,Napoli,it Serie A,26,1998,24,18,1681,18.7,2,0,2,2,0,0,2,0,0.11,0.00,0.11,0.11,0.11,Matches
310,Matteo Bianchetti,it ITA,DF,Cremonese,it Serie A,32,1993,27,25,2192,24.4,0,2,2,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matches
311,Mika Biereth,dk DEN,FW,Monaco,fr Ligue 1,22,2003,32,12,1074,11.9,2,2,4,2,0,0,0,0,0.17,0.17,0.34,0.17,0.34,Matches
312,Pedro Bigas,es ESP,DF,Elche,es La Liga,34,1990,28,25,2063,22.9,1,3,4,1,0,0,5,1,0.04,0.13,0.17,0.04,0.17,Matches
313,Justin Bijlow,nl NED,GK,Genoa,it Serie A,27,1998,16,16,1395,15.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
314,Jaka Bijol,si SVN,DF,Leeds United,eng Premier League,26,1999,25,21,1890,21.0,1,2,3,1,0,0,4,0,0.05,0.10,0.14,0.05,0.14,Matches
315,Cristiano Biraghi,it ITA,"MF,DF",Torino,it Serie A,32,1992,14,5,517,5.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
316,Veljko Birmančević,rs SRB,FW,Getafe,es La Liga,27,1998,6,1,142,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
317,Tom Bischof,de GER,"DF,MF",Bayern Munich,de Bundesliga,20,2005,26,14,1302,14.5,3,3,6,3,0,0,2,0,0.21,0.21,0.41,0.21,0.41,Matches
318,Yves Bissouma,ml MLI,MF,Tottenham,eng Premier League,28,1996,11,7,603,6.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
319,Leonardo Bittencourt,de GER,MF,Werder Bremen,de Bundesliga,31,1993,17,5,615,6.8,0,1,1,0,0,0,5,0,0.00,0.15,0.15,0.00,0.15,Matches
320,Emmanuel Biumla,fr FRA,DF,Angers,fr Ligue 1,20,2005,9,3,387,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
321,Marco Bizot,nl NED,GK,Aston Villa,eng Premier League,34,1991,7,6,585,6.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
322,Antonio Blanco,es ESP,MF,Alavés,es La Liga,25,2000,36,36,3110,34.6,2,3,5,2,0,0,9,0,0.06,0.09,0.14,0.06,0.14,Matches
323,Ludovic Blas,fr FRA,"MF,FW",Rennes,fr Ligue 1,27,1997,32,15,1546,17.2,5,4,9,3,2,2,1,0,0.29,0.23,0.52,0.17,0.41,Matches
324,Janis Blaswich,de GER,GK,Leverkusen,de Bundesliga,34,1991,11,10,931,10.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
325,Daley Blind,nl NED,DF,Girona,es La Liga,35,1990,31,30,2606,29.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
326,Adam Boayar,ma MAR,MF,Elche,es La Liga,19,2005,7,0,104,1.2,1,0,1,1,0,0,0,0,0.87,0.00,0.87,0.87,0.87,Matches
327,Oscar Bobb,no NOR,"MF,FW",Manchester City,eng Premier League,22,2003,9,5,468,5.2,0,1,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches
328,Oscar Bobb,no NOR,MF,Fulham,eng Premier League,22,2003,14,6,571,6.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
329,Ben Bobzien,de GER,"FW,MF",Mainz 05,de Bundesliga,22,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
330,Arnaud Bodart,be BEL,GK,Lille,fr Ligue 1,27,1998,3,2,226,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
331,Sacha Boey,fr FRA,DF,Bayern Munich,de Bundesliga,24,2000,9,5,463,5.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
332,Jeremie Boga,ci CIV,"MF,FW",Nice,fr Ligue 1,28,1997,14,7,646,7.2,2,2,4,2,0,0,0,0,0.28,0.28,0.56,0.28,0.56,Matches
333,Jeremie Boga,ci CIV,"MF,FW",Juventus,it Serie A,28,1997,15,6,679,7.5,4,0,4,4,0,0,1,0,0.53,0.00,0.53,0.53,0.53,Matches
334,Lamare Bogarde,nl NED,"MF,DF",Aston Villa,eng Premier League,21,2004,28,11,1053,11.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
335,Jayden Bogle,eng ENG,"MF,DF",Leeds United,eng Premier League,25,2000,34,32,2793,31.0,1,2,3,1,0,0,6,0,0.03,0.06,0.10,0.03,0.10,Matches
